word,x,y
the,-2.31218280981,10.5093940208
",",-7.05854978534,7.5309446578
.,-6.03595882037,8.5011002723
of,-1.69834967161,10.4002466797
to,9.79699804142,-13.9374583179
and,-6.08318939627,6.23424892409
in,-7.21751062491,11.2519924899
a,-3.63512634549,10.3810606229
"""",-16.2891846683,-12.1376766942
's,-1.45989174908,11.8407796671
for,-2.19548587686,5.42482893955
-,-7.492953735,1.89264382326
that,-0.892220532081,-7.38716631926
on,-8.55675609602,11.4540947185
is,-6.82974453231,-4.51457934248
was,-10.7133360489,0.363228140775
said,3.76899932979,-30.8969265839
with,-7.50089499451,6.23750890179
he,-9.3352298533,-0.259588490607
as,-3.28873614408,3.04625455589
it,-3.68955597187,-6.75983421116
by,-4.91873518494,4.87888356243
at,-10.2182183466,12.00190338
(,-25.5238919103,34.0460421667
),-25.6289754916,34.1221886065
from,-6.84780113957,12.7800227317
his,-15.2878282947,-21.7796529492
'',-1.87130912063,-26.4606529336
``,-2.25090979997,-25.9569511797
an,-3.63975056166,10.4662144152
be,0.737002042819,-6.19557491448
has,-7.4784820655,-2.10874340451
are,2.73357591369,1.28976890349
have,1.50954975005,-0.0590255737422
but,-1.28860359339,-7.2388934124
were,0.406389719346,0.075610715762
not,1.15147276485,-7.60661434948
this,-4.15858696715,6.96554844069
who,-18.1055887615,-32.011307027
they,1.54499316277,-2.6332642547
had,-10.5901295608,-0.898923222086
i,-5.34770687029,-21.8959315612
which,0.560235836459,11.0425790867
will,7.89180632614,-14.3933719341
their,0.0237707043669,4.50015559804
:,-25.6260652107,32.3036578997
or,4.44643046888,-1.76120472112
its,-0.491084128734,11.4575497546
one,-3.17364578416,8.58342058272
after,-18.2696159563,12.7105494492
new,-1.30095045363,9.23681337136
been,-7.03983133592,-1.3017548794
also,-2.28899147229,2.59025268674
we,0.614254959904,-18.145481598
would,6.93503870361,-14.4168530365
two,-17.8742219365,27.8517581429
more,-3.45407559731,-0.785694596272
',-15.7905031369,-11.5945472398
first,-29.9630409598,14.4474082959
about,-5.13391204517,-0.485381829833
up,-11.1023006219,10.1619572644
when,-16.0609024372,10.2840503539
year,-19.7279293054,21.4439700089
there,-2.42252289939,-7.36181384814
all,0.314469352323,2.59529369423
--,-6.43611247432,0.998505543442
out,-11.603310657,8.4765221529
she,-13.8270865932,-22.5458500154
other,3.03140812228,3.04488320252
people,0.362461305667,-1.94173011187
n't,1.1513768912,-18.9536313314
her,-15.1983998715,-22.0812508834
percent,-17.4019611378,46.4898976634
than,-3.79443857015,-0.766945011048
over,-10.4476636385,7.18120812454
into,-8.9531019107,13.4026264945
last,-19.8320225225,19.695153583
some,1.25604529517,0.948601348561
government,26.564837927,-12.4185676655
time,-9.4674801752,8.77403506883
$,-10.9144296056,44.7948514395
you,-0.233748968451,-21.2273860621
years,-17.53700258,21.0012988619
if,3.53189540731,-14.6697778811
no,2.44946937015,-7.04340892027
world,-9.60582022469,23.3522815343
can,5.0788270907,-13.2937475449
three,-17.7912273957,28.7612627641
do,1.48569242281,-19.2038120157
;,-25.9845849619,33.4112873123
president,-0.182708959078,-43.6359346396
only,-3.30966982849,7.94057904764
state,-4.70193824068,-35.0864361564
million,-11.2508918321,45.0882361678
could,6.17861314821,-14.2803599544
us,34.1670930837,6.60776498903
most,-0.983785106446,1.16236449272
_,-6.45005882188,0.983523328643
against,19.6580316844,-15.8657878903
u.s.,34.2306383566,6.59712314439
so,-2.95977565787,-8.13840659526
them,1.95705881897,-2.95350047019
what,-1.27520484727,-16.0424851286
him,-13.8810290294,-20.0551092776
united,36.8569802139,6.15371073118
during,-18.9662846654,16.1458167299
before,-16.3232369265,11.5521083358
may,-6.08664710751,8.19925164169
since,-17.5399266993,19.9289410495
many,1.79864740673,1.8810034558
while,-8.42432948175,5.08525745766
where,-5.32395002771,24.8199014168
states,36.7386860544,6.17436440792
because,-0.0873682324208,-7.44285789794
now,-6.03994181342,-3.97544691998
city,-2.28148305609,27.7059931016
made,-3.2201403837,4.62942681108
like,-6.94363977163,-10.2956032981
between,-5.53990712809,11.5635799569
did,0.353345049974,-13.6595746405
just,-4.13935371325,-7.89852971946
national,-5.93857945652,-35.0892847033
day,-22.7779214074,18.9559390813
country,8.03283304213,13.6477379549
under,-5.98845799402,6.44029316965
such,4.685978638,2.97397159622
second,-31.0050749407,14.6241172781
then,-15.3452122682,9.62940526007
company,14.933151161,30.0246987595
group,26.0250523138,-21.4704117881
any,2.83954162079,-7.79780264765
through,-8.60135141799,13.724444966
