verb,he,she
chuckle,1082.9711761651376,404.00174677518424
kill,1675.2876204645636,888.0840179668304
grin,1612.1802500715792,947.4695753992628
grunt,402.58849794109665,124.76965601965601
growl,554.167937438072,233.94310503685503
shout,1567.5383803402076,1037.4476927211301
bow,582.1705648150233,278.33230958230956
kiss,2363.3811670967507,1735.0780290233415
roar,232.54355778250846,58.78570331695331
drive,1415.958940843232,954.9677518427518
cry,1088.8557862660912,2848.4072673525798
giggle,73.25324987738705,840.9954699017198
feel,12722.72995585122,16110.581906480344
smile,6085.092679565326,8188.0086762899255
scream,841.9050796157309,1707.7846667690417
sob,108.35799289342017,519.473664004914
gasp,470.1600553072182,1144.8215793918919
blush,128.4468342725374,515.2746851965602
hug,420.2423282439573,944.1703777641277
wear,2787.884764724157,3822.570350890663
